time=0.004792 size=114 | time=0.004219 size=335 | time=0.004197 size=578 | time=0.004094 size=343
time=0.004095 size=114 | time=0.004307 size=335 | time=0.013249 size=578 | time=0.005162 size=343
time=0.004279 size=114 | time=0.004762 size=335 | time=0.004390 size=578 | time=0.004521 size=343
time=0.004373 size=114 | time=0.004952 size=335 | time=0.005294 size=578 | time=0.004548 size=343
time=0.004078 size=114 | time=0.005207 size=335 | time=0.004916 size=578 | time=0.004709 size=343
time=0.005208 size=114 | time=0.016714 size=335 | time=0.005525 size=578 | time=0.005195 size=343
time=0.004119 size=114 | time=0.011478 size=335 | time=0.004655 size=578 | time=0.004675 size=343
time=0.004359 size=114 | time=0.004761 size=335 | time=0.004173 size=578 | time=0.003792 size=343
time=0.003711 size=114 | time=0.004038 size=335 | time=0.003863 size=578 | time=0.005453 size=343
time=0.004430 size=114 | time=0.004799 size=335 | time=0.004727 size=578 | time=0.004791 size=343
time=0.004783 size=114 | time=0.004106 size=335 | time=0.003981 size=578 | time=0.004113 size=343
time=0.004049 size=114 | time=0.004155 size=335 | time=0.003894 size=578 | time=0.004248 size=343
time=0.004583 size=114 | time=0.005060 size=335 | time=0.004720 size=578 | time=0.004861 size=343
time=0.004453 size=114 | time=0.004128 size=335 | time=0.004153 size=578 | time=0.004212 size=343
time=0.004023 size=114 | time=0.004057 size=335 | time=0.004222 size=578 | time=0.004467 size=343
time=0.004395 size=114 | time=0.003936 size=335 | time=0.003738 size=578 | time=0.006177 size=343
time=0.004030 size=114 | time=0.004408 size=335 | time=0.004331 size=578 | time=0.004100 size=343
time=0.003906 size=114 | time=0.004091 size=335 | time=0.004463 size=578 | time=0.003796 size=343
time=0.004652 size=114 | time=0.003752 size=335 | time=0.004216 size=578 | time=0.003648 size=343
time=0.003519 size=114 | time=0.018462 size=335 | time=0.004180 size=578 | time=0.004148 size=343
time=0.004058 size=114 | time=0.025024 size=335 | time=0.004741 size=578 | time=0.004221 size=343
time=0.004238 size=114 | time=0.004372 size=335 | time=0.023077 size=578 | time=0.004633 size=343
time=0.004716 size=114 | time=0.004405 size=335 | time=0.022821 size=578 | time=0.004192 size=343
time=0.003823 size=114 | time=0.004001 size=335 | time=0.004044 size=578 | time=0.028125 size=343
time=0.005101 size=114 | time=0.004142 size=335 | time=0.004156 size=578 | time=0.023707 size=343
time=0.004907 size=114 | time=0.004745 size=335 | time=0.004946 size=578 | time=0.004995 size=343
time=0.004574 size=114 | time=0.004667 size=335 | time=0.005628 size=578 | time=0.004435 size=343
time=0.004290 size=114 | time=0.004145 size=335 | time=0.004255 size=578 | time=0.004687 size=343
time=0.005094 size=114 | time=0.004909 size=335 | time=0.005296 size=578 | time=0.005666 size=343
time=0.005122 size=114 | time=0.004717 size=335 | time=0.016828 size=578 | time=0.004433 size=343
